"funded_per_faculty_x","Area","Productivity_x","ProductivityWithDeptCollabs_x","ProductivityWithoutDeptCollabs_x","YearGroupSize_x","Title_x","uniform_percentile_x","UpwardMove","WindowedGroupSize_x","WindowedGroupSize4_x","Gender","Productivity_y","ProductivityWithDeptCollabs_y","ProductivityWithoutDeptCollabs_y","YearGroupSize_y","WindowedGroupSize_y","WindowedGroupSize4_y","PersonId"
0.866666666666667,"Computational Sciences",0,0,0,0,"Associate Professor",0.315315315315315,0,0,1.5,"Male",0,0,0,0,0,0,"6fd6c2d328d65c0f199956e88b6cbc22"
0.895348837209302,"Engineering",1,1,0,3.5,"Associate Professor",0.592233009708738,0,5.5,5.5,"Unknown",0.5,0,0.5,0.5,2,3,"1474ed5ca14364827bb8c09f1aa0bbe3"
12.18,"Engineering",0,0,0,0,"Associate Professor",0.883495145631068,0,0,0,"Male",9.5,4.5,5,9.5,10,10.5,"fd6e9b4c6784b0b5795f1ce36d83ae9a"
0.62,"Engineering",1.5,1,0.5,1.75,"Associate Professor",0.242718446601942,0,5.25,6.25,"Unknown",0,0,0,0,0,0,"ba0e3c3247ce03f8ac5a2d0df60cb6fa"
2.10714285714286,"Medical Sciences",2.5,2.5,0,5,"Professor",0.541935483870968,0,7,8,"Unknown",5,4,1,5.5,10.5,11,"a337d84c6896db0787be3df110ca89ee"
0.0192307692307692,"Medical Sciences",0.5,0.5,0,1.5,"Associate Professor",0.174193548387097,1,1.5,1.5,"Unknown",0,0,0,0,0,0,"df4d3bed9b8ec690cf7a325db44eb9dc"
3.9047619047619,"Earth Sciences",3.33333333333333,1.33333333333333,2,3.66666666666667,"Associate Professor",0.829545454545455,0,7.33333333333333,7.66666666666667,"Male",3,0,3,1,1,1,"7e57118c5c03296fb680c61582532e69"
9.29032258064516,"Agriculture",3,2.5,0.5,3,"Professor",0.775700934579439,0,3.5,3.5,"Male",0,0,0,0,0,0,"7f97623c25a6ae073852f00287323f91"
0.958333333333333,"Engineering",0,0,0,0,"Professor",0.456310679611651,1,0,0,"Unknown",0,0,0,0,4,4,"6b11483ef9b400c65c8ffed9584894ba"
6.29411764705882,"Physical Sciences",4.5,2,2.5,3,"Professor",0.844660194174757,0,5,5.5,"Female",4,1.5,2.5,3,3.5,3.5,"3c94870517991ff3be6da03c8b2b0ed5"
0.100456621004566,"Biological Sciences",0,0,0,0,"Professor",0.766037735849057,1,2,2,"Male",1,0,1,0.5,1,1,"cf55f1d66753194288219d587437bcef"
0.967741935483871,"Biological Sciences",6,2.25,3.75,3.5,"Associate Professor",0.664150943396226,0,7.5,8,"Male",8.5,4,4.5,8.5,15.5,15.5,"bf6ce5c16100562f44a116d9e3d078d0"
1.72043010752688,"Physical Sciences",0.5,0,0.5,0.5,"Professor",0.888349514563107,1,1,1,"Male",0,0,0,0,0,0,"186e80d919ca6f325897e6489e133027"
0.113924050632911,"Health",1,0.5,0.5,2,"Associate Professor",0.67906976744186,1,3,3,"Male",0,0,0,0,0,0,"21487425fe9b07924e48067fa0490c14"
0.203947368421053,"Medical Sciences",1,0,1,1,"Professor",0.529032258064516,1,3,3,"Male",0,0,0,0,0,0,"d0c42ae0f44e7fd15b60c2abcd63688d"
0.0147058823529412,"Psychological Sciences",2,0.5,1.5,1.5,"Associate Professor",0.409266409266409,1,4,4,"Male",2,1,1,2.5,4.5,5.5,"0b2a38a818567e298e9f3cdef9473b6a"
3,"Computational Sciences",4.25,4,0.25,4.5,"Associate Professor",0.747747747747748,1,7,7.5,"Unknown",6,4,2,4,7,7,"94c498dbcc7eb1b0e1c847c40a45149e"
0,"Biological Sciences",6.66666666666667,3.33333333333333,3.33333333333333,4.66666666666667,"Associate Professor",0.550943396226415,1,7,7,"Male",0,0,0,0,0.5,1,"da0a67822cbd5f6f00458ea881484cc3"
1.04411764705882,"Engineering",0.666666666666667,0.666666666666667,0,1.33333333333333,"Associate Professor",0.572815533980582,1,4,4,"Unknown",4,3,1,5,8,8,"c711abc5b24781acc295e45e7f874895"
2.65693430656934,"Agriculture",2,1.33333333333333,0.666666666666667,2.66666666666667,"Associate Professor",0.738317757009346,0,4.66666666666667,5,"Female",1.5,0,1.5,1,2,2,"85224c70e226c9ab313f5422445dd044"
4.1,"Physical Sciences",2.5,1.5,1,2.5,"Professor",0.995145631067961,0,3,3.5,"Male",0,0,0,0,0,0,"e9bb5ae185b4ef30875dee65491dde87"
3.16071428571429,"Engineering",1,1,0,2,"Associate Professor",0.980582524271845,1,5.5,5.5,"Male",0,0,0,0,0,0,"99fa064f9b00587d3d59e60d573bdb1c"
0.269230769230769,"Engineering",5,5,0,4,"Associate Professor",0.422330097087379,1,7,7,"Unknown",4.5,4,0.5,7.5,9.5,10.5,"b1331ae58dd396ada70eef00ab35236f"
0.143939393939394,"Medical Sciences",2,1,1,1.66666666666667,"Professor",0.935483870967742,0,5.66666666666667,7,"Male",1,0.5,0.5,2.5,8,12.5,"2cc6e44ec51477bddca090ed9a4e6734"
0.00591715976331361,"Biological Sciences",2,1,1,4,"Assistant Professor",0.671698113207547,1,12,12,"Unknown",0,0,0,0,0,0,"148e83ba65161f887163f33fa574947a"
4.02325581395349,"Agriculture",0,0,0,0,"Professor",0.504672897196262,0,0,0,"Male",2.5,0.5,2,1.5,1.5,1.5,"421f5468dc33e70e2b446ea184841ac6"
1.72413793103448,"Psychological Sciences",1,0,1,1,"Assistant Professor",0.768339768339768,1,3,3,"Male",3,1,2,2,5.5,5.5,"db4bc4a3734a1eee723f122809311bca"
13.7777777777778,"Engineering",5.66666666666667,3.66666666666667,2,6,"Associate Professor",0.932038834951456,0,10.3333333333333,12,"Unknown",0,0,0,0,0,0,"01d2a01d9d76fef574b95ea066b6048e"
0.258333333333333,"Health",0.5,0,0.5,0.5,"Associate Professor",0.706976744186047,0,1,1,"Female",0,0,0,0,0,0,"caae5cc4f9d55a34dd77d39acb99767f"
1.16949152542373,"Engineering",0,0,0,0,"Professor",0.771844660194175,1,0,0,"Unknown",1.5,1,0.5,1.5,2,2,"a5c722a908e95d8c77906dd8ddcbc265"
0.692307692307692,"Engineering",10,9,1,9,"Professor",0.62621359223301,1,18.5,19.5,"Male",0,0,0,0,0,0,"2a56132a6a203212c53a3718b9445875"
0.0416666666666667,"Health",5.5,3.5,2,7.5,"Professor",0.488372093023256,1,10.5,10.5,"Female",0,0,0,0,0,0,"e88eda3d6944674598018221c523d6a8"
3.3728813559322,"Agriculture",0,0,0,0,"Professor",0.728971962616822,0,0,0,"Male",1,0.5,0.5,1.5,2,2,"fb79c815e05d1c883d85a9ef71b812fd"
2.07407407407407,"Engineering",2,2,0,5.66666666666667,"Associate Professor",0.781553398058252,1,12.6666666666667,12.6666666666667,"Male",0,0,0,0,0,0,"9ff3166664b8badb523dc0c7d7e169ca"
0.04,"Engineering",0,0,0,0,"Associate Professor",0.0194174757281553,1,1,1.66666666666667,"Male",0.5,0.5,0,1,4,4,"438d434eaad35573e9c1a348e8d9ca44"
0.102941176470588,"Health",0,0,0,0,"Associate Professor",0.762790697674419,1,4,4,"Female",2,0,2,1,1,1,"32f2323c7d1587955d2a55a31e49dbf3"
0.62962962962963,"Agriculture",2.5,2,0.5,7,"Associate Professor",0.598130841121495,1,9,10.5,"Female",2.5,1.5,1,4,4,4,"09915313b409c4832d4eb2d9e8b5247d"
1.40540540540541,"Engineering",0.5,0.25,0.25,0.75,"Associate Professor",0.577669902912621,0,2,2.5,"Male",3.5,2.5,1,2.5,3.5,3.5,"7273b3cee1d22efa4f41953be40e8f07"
1.875,"Engineering",5.5,3.5,2,3.75,"Associate Professor",0.412621359223301,0,6.5,7.5,"Male",0,0,0,0,0,0,"e2ff7435a91b9c083479f21002bcc985"
9.51851851851852,"Engineering",14.5,12,2.5,9.5,"Professor",0.932038834951456,0,13,13.5,"Male",9,8.5,0.5,11,16.5,16.5,"5b4344cc6f83df6ea263460f04938403"
1.18032786885246,"Engineering",4.66666666666667,2.33333333333333,2.33333333333333,4,"Assistant Professor",0.66504854368932,1,5.66666666666667,5.66666666666667,"Unknown",10,4,6,4,4.5,4.5,"15d9544cd30ec5442ae8d389f24b35e1"
0.444444444444444,"Earth Sciences",0,0,0,0,"Professor",0.613636363636364,0,0,0,"Female",1,1,0,5,5.5,6,"83834c47ac363ac0c2f17be0ccb23eb8"
0.188571428571429,"Medical Sciences",0,0,0,0,"Associate Professor",0.845161290322581,1,1,1,"Male",0,0,0,0,0,0,"1db77e14673d256c6a21355bb284774d"
