"Area","gradstudents_per_faculty","funded_per_faculty","unfunded_per_faculty","tt_headcount","UniquePeople","Productivity","ProductivityWithDeptCollabs","ProductivityWithoutDeptCollabs","ProductivityFirstAuthor","ProductivityLastAuthor","WindowedGroupSize","WindowedGroupSize4","YearGroupSize","YearsSinceDegree","CumulativeGroupSize","uniform_percentile","ft_funded","Umbrella","FundedRatioQuartile","NumFundedQuartile","PrestigeSegment","FundedRatioTopHalf","ProductivityMedian","ProductivityWithDeptCollabsMedian","ProductivityWithoutDeptCollabsMedian","ProductivityFirstAuthorMedian","ProductivityLastAuthorMedian","YearGroupSizeMedian","YearsSinceDegreeMedian","CumulativeGroupSizeMedian","WindowedGroupSizeMedian","WindowedGroupSize4Median","ProductivityVariance","ProductivityWithDeptCollabsVariance","ProductivityWithoutDeptCollabsVariance","YearGroupSizeVariance","ProductivitySD","YearGroupSizeSD","CONTROL","AreaHasCollabNorm","log_funded_per_faculty_p1","log_unfunded_per_faculty_p1","pi_tritile","pi_decile","uniform_percentile100","scale_log_funded_per_faculty_p1","scale_log_unfunded_per_faculty_p1","scale_uniform_percentile100","log_tt_headcount","scale_tt_headcount"
"Sociology",1.21951219512195,0.170731707317073,1.04878048780488,41,16,1.05925099206349,0.20014880952381,0.859102182539682,0.641220238095238,0.438244047619048,1.32599206349206,1.44937996031746,0.800818452380952,26,2.75,0.556291390728477,7,"Social Sciences",1,1,6,"False",0.8125,0.125,0.708333333333333,0.375,0.4375,0.75,24.5,2,1.05555555555556,1.18253968253968,0.703480341789494,0.0965649801587301,0.558285787115772,0.302607929552994,0.838737349704598,0.550098109025103,1,FALSE,0.227410496103072,1.03476541816068,2,6,55.6291390728477,-0.908083176378581,-0.428087866880159,0.209022969087005,5.35755200461808,1.34758655792876
"Political Science",0.140845070422535,0.0845070422535211,0.0563380281690141,71,13,1.79668664668665,0.424142524142524,1.37254412254412,1.0029637029637,0.866633366633367,1.48306693306693,1.58172660672661,0.99998334998335,11.6153846153846,1.84615384615385,0.722222222222222,6,"Social Sciences",0,1,8,"False",1.85714285714286,0,1.5,0.857142857142857,0.833333333333333,1,7,2,1,1,1.46723455476702,0.334732424862295,0.897160409335734,0.362862471823511,1.21129457803089,0.602380670194115,1,FALSE,0.117039421190219,0.0790715709911987,3,8,72.2222222222222,-1.01611229273777,-1.33365220216083,0.848614241118939,6.14974711950468,2.16796309850072
"Physical Sciences",27.75,22.5,5.25,4,25,1.40230158730159,0.710952380952381,0.691349206349206,0.201746031746032,0.634444444444444,4.1318253968254,4.72420634920635,2.27912698412698,23.76,7.36,0.796019900497512,90,"Natural Sciences",3,3,8,"True",0.428571428571429,0.25,0.25,0.125,0.125,0.75,22,3,1.71428571428571,2,3.99144682487192,0.976170372469976,1.21401443216175,15.6918418262367,1.99786056191916,3.96129294880304,1,TRUE,4.55458885167764,2.64385618977472,3,9,79.6019900497513,3.32727698886804,1.09660042039782,1.13307223181415,2,-2.12940647898655
"Sociology",9.33333333333333,5.33333333333333,4,3,15,1.49777777777778,0.254603174603175,1.2431746031746,0.822539682539682,0.872380952380952,1.23777777777778,1.29253968253968,0.814603174603175,17.6666666666667,1.66666666666667,0.754966887417219,16,"Social Sciences",3,2,8,"True",1,0,0.857142857142857,0.714285714285714,0.571428571428571,0.714285714285714,14,1,1,1,4.93957439801317,0.464097397689234,2.51615878414858,0.689109869344563,2.22251533133366,0.830126417688633,1,FALSE,2.66296501272243,2.32192809488736,3,8,75.4966887417219,1.47579142557469,0.791558589147915,0.974830700566483,1.58496250072116,-2.55920845765029
"Biological Sciences",1.21052631578947,0.947368421052632,0.263157894736842,19,36,0.90009805009805,0.606290931290931,0.293807118807119,0.0700507054673721,0.269056098222765,6.61289358789359,8.01151587609921,3.41235223110223,19.0555555555556,14.25,0.426470588235294,18,"Natural Sciences",1,1,5,"False",0.694805194805195,0.416666666666667,0,0,0.0625,2.8452380952381,15,10,5.39583333333333,6.07142857142857,0.960193774677065,0.448830033777456,0.234225740114577,9.66344474701025,0.979894777349622,3.10860816878073,1,TRUE,0.961525852185364,0.337034987277571,2,4,42.6470588235294,-0.189544978885233,-1.08921987659133,-0.291379828002281,4.24792751344359,0.198488457855317
"Sociology",3.88888888888889,3.44444444444444,0.444444444444444,9,21,1.46277399848828,0.879062736205593,0.583711262282691,0.525510204081633,0.559807256235828,3.14503023431595,3.49338624338624,1.71201814058957,21.2857142857143,5.66666666666667,0.450331125827815,31,"Social Sciences",3,3,5,"True",1.25,0.428571428571429,0.5,0.5,0.5,1.375,21,4,2.28571428571429,2.57142857142857,1.57196629533648,1.44663622613949,0.310660989483977,2.63957281656049,1.25378080035406,1.62467621899272,0,FALSE,2.15200309344505,0.53051471669878,2,5,45.0331125827815,0.975671582795982,-0.905888841153019,-0.199407821035383,3.16992500144231,-0.91786274768081
"Psychological Sciences",1.67857142857143,1.21428571428571,0.464285714285714,28,19,1.66205096073517,0.735964912280702,0.92608604845447,0.213450292397661,0.871574770258981,3.38930659983292,3.94183375104428,1.67218045112782,24.1578947368421,7.73684210526316,0.745614035087719,34,"Social Sciences",2,2,8,"True",1.125,0.125,0.75,0,0.2,1,19,4,2.125,2.5,3.01175252670919,1.07989066673886,0.972796881423135,2.8566406122228,1.73544015359481,1.69015993687662,1,TRUE,1.14684138832927,0.55019708256048,3,8,74.5614035087719,-0.00816164422926888,-0.88723888477725,0.938779517885724,4.8073549220576,0.777816850009819
"Political Science",14.9333333333333,10.8,4.13333333333333,15,7,0.412244897959184,0.0535714285714286,0.358673469387755,0.29234693877551,0.297448979591837,1.14795918367347,1.18622448979592,0.481122448979592,20.4285714285714,1.85714285714286,0.796296296296296,162,"Social Sciences",3,3,8,"True",0.375,0,0.285714285714286,0.285714285714286,0.285714285714286,0.375,19,1,0.857142857142857,0.857142857142857,0.0625163994169096,0.0200892857142857,0.0560112973760933,0.155428206997085,0.250032796682574,0.394243842053474,1,FALSE,3.56071495447448,2.35989594508638,3,9,79.6296296296296,2.35449205429981,0.82753489173618,1.13413761754709,3.90689059560852,-0.154680454201032
"Anthropology",5.1,1.3,3.8,10,7,0.535714285714286,0,0.535714285714286,0.426020408163265,0.441326530612245,0.732142857142857,0.806122448979592,0.385204081632653,15.5714285714286,1,0.891304347826087,13,"Social Sciences",2,2,9,"True",0.5,0,0.5,0.5,0.5,0.428571428571429,15,1,0.857142857142857,1,0.0722789115646258,0,0.0722789115646258,0.0197552235179786,0.268847375967529,0.140553276439856,1,FALSE,1.20163386116965,2.26303440583379,3,10,89.1304347826087,0.0454681897535474,0.73575408173377,1.50035238296581,3.32192809488736,-0.760452319853902
"Sociology",0.888888888888889,0.851851851851852,0.037037037037037,27,8,1.39444444444444,0.188888888888889,1.20555555555556,0.955555555555555,0.718055555555556,1.53888888888889,1.82361111111111,0.956944444444444,16.5,2.625,0.880794701986755,23,"Social Sciences",2,3,9,"True",1.3,0,1.1,0.85,0.722222222222222,0.75,10,1,1,1,1.19195767195767,0.158447971781305,0.676119929453263,0.562096560846561,1.09176814020087,0.749730992320953,1,FALSE,0.888968687611256,0.0524674198941355,3,10,88.0794701986755,-0.260562556458509,-1.35886087173139,1.45984226383682,4.75488750216347,0.723482962288675
