"Productivity","ProductivityWithDeptCollabs","ProductivityWithoutDeptCollabs","WindowedGroupSize","scale_log_funded_per_faculty_p1","scale_uniform_percentile100","Area","scale_log_unfunded_per_faculty_p1","scale_tt_headcount","CONTROL"
0.333333333333333,0.333333333333333,0,3.38095238095238,0.0697458702018737,1.09025122436944,"Biological Sciences",-0.990575460527776,1.41193881484096,1
0,0,0,4,0.139081681090647,1.33199243107557,"Earth Sciences",-0.999854647060915,-0.620363562451391,1
0,0,0,3.75,-0.140471349623788,1.26111430779161,"Engineering",0.218774732699382,1.59979869845622,1
0,0,0,2.28571428571429,-0.998074683538687,0.954236758898799,"Health",-0.984280380469405,-0.0226275691301121,1
0,0,0,0,-0.148453907890557,1.17989979152874,"Mathematical Sciences",0.809119192345249,-0.500816363787135,1
1.11607142857143,0.375,0.741071428571429,8.63392857142857,1.28260149377677,1.07412181383101,"Medical Sciences",-0.999854647060915,0.0456851158208912,1
0,0,0,1.5,0.348058069474472,1.31958875950088,"Physical Sciences",-0.115936467652227,-0.347112822647378,1
2.51641179507033,1.72266421473739,0.793747580332946,6.66366627951994,0.0767886338981548,1.13924699254707,"Agriculture",-0.100739968304028,1.60618565680529,1
0.931156462585034,0.178265306122449,0.752891156462585,1.40826530612245,-0.699286551283045,1.03744470537894,"Architecture, Design, Planning",0.379898605403808,-0.270017078202674,1
2.18314758527524,1.29199425869639,0.891153326578858,6.70812056737589,-0.93954272897323,1.34783302296799,"Biological Sciences",-0.77249043981881,2.19622657653375,1
4.03496168582376,3.1514367816092,0.883524904214559,11.9806650246305,0.532275145887082,1.39931212398974,"Chemical Sciences",0.0195442871092276,0.141087313769706,1
2.83248677248677,1.62886243386243,1.20362433862434,6.57213403880071,0.6867134027358,1.33363667582743,"Computational Sciences",1.11292449832306,-0.297775883516097,1
1.75992063492063,0.970734126984127,0.789186507936508,4.87142857142857,-0.266267142517781,1.2635507432795,"Earth Sciences",-0.492868522987462,-0.434211495959907,1
0.739880952380952,0.162556689342404,0.577324263038549,1.29084467120181,-0.269958365812821,0.947645384314881,"Economics",-0.0245492920599837,-0.0348262628713626,1
3.08654701779702,1.91947751322751,1.1670695045695,6.58110269360269,-0.318286577135107,1.37806321121014,"Engineering",-0.426733298663835,2.96178285466684,1
2.02723922902494,0.974652777777778,1.05258645124717,6.03871882086168,-1.02827404637974,1.34642354664187,"Health",-0.373576545594081,0.563214697793447,1
1.39834368530021,0.208635265700483,1.18970841959972,1.54910282953761,-0.250916520463721,1.33736040658899,"Mathematical Sciences",0.186355632098227,-0.334861091107252,1
1.87692680776014,1.24723544973545,0.629691358024691,8.08960758377425,-0.241770829009994,1.20364586815476,"Medical Sciences",-0.999854647060915,0.307360650674873,1
2.12167708834376,1.37213003046336,0.749547057880391,7.18413900913901,1.02868239686779,1.37806321121014,"Physical Sciences",0.471471385290174,-0.5686115283976,1
1.20087045570917,0.136635944700461,1.0642345110087,1.00010240655402,1.46469782096124,1.20380006345753,"Political Science",2.23072625514674,-0.588410854974308,1
2.32731092436975,0.865966386554622,1.46134453781513,3.50168067226891,0.109708938789554,1.34397192855339,"Psychological Sciences",-0.648988157517725,-0.686667050786188,1
0.838594470046083,0.19573732718894,0.642857142857143,1.29038658474142,0.722862264189112,1.03469436584819,"Sociology",0.651831897566724,-0.884248853512121,1
1.80683261183261,1.01205627705628,0.794776334776335,4.66050505050505,-0.0429811471126325,0.438720792620166,"Biological Sciences",-0.99702511046176,0.417368224395213,1
3.00910609857978,1.98467000835422,1.02443609022556,6.06967418546366,0.0430680865207823,0.863382676796156,"Computational Sciences",0.15241023005888,-0.783055614768912,1
1.80609243697479,0.759990662931839,1.04610177404295,3.83781512605042,0.568270163599589,0.236925426338413,"Earth Sciences",-0.929789355711921,-0.995078731373806,1
2.57685472739821,1.85153554175293,0.725319185645273,6.88104727398206,2.07229825932239,0.734844242408221,"Engineering",0.311495637462004,-0.739539496523521,1
