anonymous_department_id,Area,Productivity,expected_productivity,productivity_residual,productivity_residual_z,productivity_ratio,funded_per_faculty,unfunded_per_faculty,tt_headcount,uniform_percentile100,CONTROL,AreaHasCollabNorm,productivity_direction
dept_465,Political Science,1.37176434676435,0.8023594521787663,0.2745375149821221,0.8418668849785276,1.6680337657194912,0,3.78571428571429,14,56.1728395061728,0,FALSE,near_expected
dept_466,Engineering,2.79389709906951,2.315332836631955,0.13483572732355564,0.4134725767918743,1.2023242797064417,8.33333333333333,3.83333333333333,6,55.2147239263804,0,TRUE,near_expected
dept_467,Geography,2.43916666666667,1.1277498806742394,0.48016416668228346,1.4724192113032288,2.1134934568973756,0.722222222222222,0.277777777777778,18,55.952380952381,0,FALSE,near_expected
dept_468,Physical Sciences,1.83035714285714,1.1507903420949712,0.274567527016893,0.8419589166202729,1.5659329334516094,0.347826086956522,0.695652173913043,23,11.9402985074627,0,TRUE,near_expected
dept_469,Computational Sciences,1.17666666666667,2.176188061724385,-0.37788710040090423,-1.158787483411127,0.5510166403985229,1.05555555555556,0.944444444444444,18,18.3673469387755,0,TRUE,near_expected
dept_470,Engineering,1.30686985686986,1.844665802055995,-0.20955402683640245,-0.6425955877795335,0.7161526087595258,0.470588235294118,0.333333333333333,51,16.5644171779141,0,TRUE,near_expected
dept_471,Chemical Sciences,3.90899470899471,1.9606704713623708,0.5056534239762882,1.550581795531171,1.9689923164347325,1.88888888888889,1.88888888888889,9,20.8530805687204,0,TRUE,anonymous_overperformer
dept_472,Physical Sciences,1.1182917611489,1.4599672596517088,-0.14953804993967623,-0.4585571203144206,0.7737199291449405,1.82352941176471,2.05882352941176,17,63.18407960199,0,TRUE,near_expected
dept_473,Computational Sciences,1.91418521954236,2.4262508232762188,-0.1618763412098314,-0.49639238242145806,0.793209315098231,1.88,9.72,25,60.7142857142857,0,TRUE,near_expected
dept_474,Political Science,0.814241622574956,0.8901302700793778,-0.04097821106800992,-0.12565932530592358,0.9192785830648615,0.358490566037736,2.43396226415094,53,51.8518518518518,0,FALSE,near_expected
dept_475,Mathematical Sciences,1.93963993331739,1.1903461243845248,0.2942275231852125,0.9022461226656496,1.6041005766069323,0.538461538461538,8.46153846153846,13,70.3517587939699,0,FALSE,near_expected
dept_476,Anthropology,0.839781746031746,0.9372750994237327,-0.051635449492710705,-0.15833965358696228,0.9012500634839338,2.5,4.83333333333333,6,53.6231884057971,0,FALSE,near_expected
dept_477,Biological Sciences,1.5416323953824,1.4861230274677926,0.0220820699658697,0.06771447413026611,1.03613601705204,0.17142857142857101,0.0285714285714286,35,79.7619047619048,0,TRUE,near_expected
dept_478,Economics,0.777380952380952,0.9709970508139762,-0.10339862617842754,-0.317070981492496,0.8103656633692855,0.421052631578947,1.26315789473684,19,85.6287425149701,0,FALSE,near_expected
dept_479,Engineering,3.38153183621934,2.4147974103046037,0.24928022976245656,0.7644156410846695,1.3922165861880167,4.36363636363636,1.63636363636364,11,83.5294117647059,0,TRUE,near_expected
dept_480,Chemical Sciences,2.47013227513228,2.4459041794534073,0.007006381458437572,0.0214850073723807,1.00970714175581,5.06666666666667,4,15,72.9857819905213,0,TRUE,near_expected
